arbID,Zoning District
1233, "PAR
1234, "PAR
1235, "R3-
1236, "R7
1237, "R7
1238, "R
1239, "R7
1240, "M1-4/R7
1241, "M1-1/R7
1242, "R8
1243, "PAR
1244, "PAR
1245, "PAR
1246, "PAR
1247, "PAR
1248, "PAR
1249, "PAR
1250, "PAR
1251, "PAR
1252, "PAR
1253, "PAR
1254, "PAR
1255, "PAR
1256, "PAR
1257, "PAR
1258, "PAR
1259, "PAR
1260, "PAR
1261, "PAR
1262, "PAR
1263, "PAR
1264, "PAR
1265, "PAR
1266, "R7-
1267, "PAR
1268, "PAR
1269, "PAR
1270, "PAR
1271, "PAR
1272, "PAR
1273, "PAR
1274, "PAR
1275, "PAR
1276, "PAR
1277, "PAR
1278, "PAR
1279, "PAR
1280, "PAR
1281, "PAR
1282, "PAR
1283, "PAR
1284, "PAR
1285, "PAR
1286, "PAR
1287, "PAR
1288, "PAR
1289, "PAR
1290, "PAR
1291, "PAR
1292, "PAR
1293, "PAR
1294, "PAR
1295, "PAR
1296, "PAR
1297, "PAR
1298, "PAR
1299, "PAR
1300, "PAR
1301, "PAR
1302, "PAR
1303, "PAR
1304, "PAR
1305, "PAR
1306, "PAR
1307, "PAR
1308, "PAR
1309, "PAR
1310, "PAR
1311, "PAR
1312, "R6
1313, "PAR
1314, "R7
1315, "R6
1316, "R8
1317, "R5
1318, "R4-
1319, "M1-2/R
1320, "R6
1321, "R5
1322, "R6
1323, "R6
1324, "R
1325, "R
1326, "M1-
1327, "R7
1328, "R6
1329, "C8-
1330, "M1-
1331, "R3-
1332, "R6
1333, "R6
1334, "M3-
1335, "R6
1336, "C4-
1337, "R6
1338, "M1-
1339, "R4
1340, "R5
1341, "C8-
1342, "R7
1343, "PAR
1344, "M2-
1345, "M1-
1346, "M1-
1347, "R4-
1348, "R5
1349, "C6-
1350, "PAR
1351, "R5
1352, "R1-
1353, "R6
1354, "R
1355, "R5
1356, "R
1357, "C6-
1358, "R4-
1359, "C4-4
1360, "C8-
1361, "R5
1362, "R4
1363, "R4-
1364, "R4
1365, "PAR
1366, "R5
1367, "R6
1368, "R6
1369, "R6
1370, "R4
1371, "C6-2
1372, "R3-
1373, "R7
1374, "M1-
1375, "C4-4
1376, "PAR
1377, "R
1378, "C4-4
1379, "C8-
1380, "C8-
1381, "R4-
1382, "M1-
1383, "R
1384, "R
1385, "R7
1386, "R
1387, "R7
1388, "M1-4/R6
1389, "R5
1390, "R4-
1391, "C8-
1392, "M3-
1393, "C8-
1394, "R6
1395, "R5
1396, "R6
1397, "R2
1398, "M1-
1399, "M1-
1400, "R5
1401, "R
1402, "R
1403, "M1-2/R6
1404, "R4-
1405, "R
1406, "R4-
1407, "C8-
1408, "R5
1409, "R4
1410, "R5
1411, "R4-
1412, "R6
1413, "R6
1414, "M3-
1415, "R7
1416, "R5
1417, "R
1418, "R6
1419, "R7
1420, "PLAYGROUN
1421, "R6
1422, "R5
1423, "R6
1424, "M1-
1425, "R6
1426, "R
1427, "C8-
1428, "R6
1429, "R6
1430, "C8-
1431, "R7
1432, "C8-
1433, "R6
1434, "C8-
1435, "PAR
1436, "C5-2
1437, "C6-2
1438, "M1-
1439, "PAR
1440, "R3
1441, "R4-
1442, "R
1443, "R7
1444, "C4-4
1445, "R6
1446, "R7
1447, "C8-
1448, "R6
1449, "C6-
1450, "R6
1451, "R6
1452, "M1-
1453, "R7
1454, "M1-
1455, "R4
1456, "R6
1457, "M1-
1458, "M1-1
1459, "R7
1460, "PAR
1461, "C8-
1462, "R6
1463, "M1-
1464, "M1-
1465, "PAR
1466, "R4-
1467, "R6
1468, "M1-
1469, "R5
1470, "M1-2/R6
1471, "R6
1472, "R6
1473, "M1-2/R6
1474, "R5
1475, "R6
1476, "R5
1477, "R7-
1478, "R7
1479, "C4-
1480, "C4-2
1481, "C4-
1482, "M1-
1483, "R
1484, "R6
1485, "R3
1486, "R
1487, "R4-
1488, "C4-3
1489, "M1-
1490, "R4
1491, "R5
1492, "R3-
1493, "R6
1494, "M1-
1495, "R7
1496, "R5
1497, "C6-
1498, "R
1499, "R
1500, "M1-2/R6
1501, "R6
1502, "M1-2/R6
1503, "R6
1504, "C8-
1505, "R6
1506, "PAR
1507, "R6
1508, "C
1509, "R7
1510, "R7
1511, "R6
1512, "R6
1513, "R6
1514, "R4-
1515, "M1-
1516, "R6
1517, "PAR
1518, "C8-
1519, "C8-
1520, "C4-2
1521, "M1-4/R8
1522, "C5-
1523, "C4-
1524, "R4-
1525, "C8-
1526, "PAR
1527, "M2-
1528, "R7
1529, "R
1530, "R6
1531, "C8-
1532, "R
1533, "R
1534, "R4
1535, "C8-
1536, "R
1537, "C8-
1538, "M1-2/R6
1539, "R
1540, "R4-
1541, "C4-
1542, "R6
1543, "R4
1544, "R7
1545, "R
1546, "R4-
1547, "C6-
1548, "M1-
1549, "C8-
1550, "R5
1551, "M1-
1552, "R
1553, "M1-
1554, "PAR
1555, "C4-
1556, "R6
1557, "M1-
1558, "R5
1559, "R6
1560, "M2-
1561, "M1-
1562, "R8
1563, "R6
1564, "R4
1565, "C8-
1566, "C8-
1567, "R
1568, "M3-
1569, "C8-
1570, "M1-
1571, "R7
1572, "PAR
1573, "R7
1574, "C8-
1575, "R
1576, "R3
1577, "M1-2/R
1578, "C5-
1579, "C4-5
1580, "R4-
1581, "C8-
1582, "PAR
1583, "R6
1584, "M1-2/R6
1585, "R4
1586, "M1-
1587, "R4-
1588, "R6
1589, "R7
1590, "R
1591, "M1-
1592, "R6
1593, "R6
1594, "R
1595, "R3-
1596, "R
1597, "R6
1598, "R7
1599, "C4-4
1600, "M1-
1601, "R4
1602, "C5-
1603, "PAR
1604, "M1-4/R6
1605, "R
1606, "R7
1607, "M1-2/R
1608, "R7-
1609, "R6
1610, "R6
1611, "C8-
1612, "R7
1613, "R5
1614, "M1-2
1615, "R6
1616, "R6
1617, "M1-
1618, "R6
1619, "R6
1620, "M1-
1621, "PAR
1622, "C4-
1623, "R6
1624, "R
1625, "C4-4
1626, "R5
1627, "R1-
1628, "R6
1629, "R6
1630, "R6
1631, "R7-
1632, "R
1633, "M1-2/R6
1634, "M1-4/R6
1635, "R5
1636, "R6
1637, "R5
1638, "M1-
1639, "M1-2/R6
1640, "PAR
1641, "R6
1642, "M1-
1643, "M1-
1644, "M3-
1645, "R6
1646, "M1-2/R6
1647, "M1-
1648, "C8-
1649, "R
1650, "M1-
1651, "M3-
1652, "R4-
1653, "C6-
1654, "R4
1655, "R6
1656, "M3-
1657, "R4-
1658, "R7
1659, "R
1660, "C6-
1661, "C6-
1662, "M1-2/R6
1663, "R7-
1664, "C4-
1665, "M1-
1666, "C8-
1667, "R6
1668, "R4-
1669, "R3-
1670, "R6
1671, "R6
1672, "R6
1673, "C4-4
1674, "R5
1675, "R6
1676, "R6
1677, "R
1678, "M2-
1679, "C8-
1680, "R
1681, "R
1682, "R7
1683, "R7-
1684, "R7
1685, "R7-
1686, "C8-
1687, "R
1688, "M1-5/R9-
1689, "R7
1690, "R6
1691, "R
1692, "C8-
1693, "R7
1694, "R6
1695, "C4-
1696, "C4-4
1697, "R
1698, "R7
1699, "R6
1700, "R6
1701, "R6
1702, "R7
1703, "M1-
1704, "M1-
1705, "R6
1706, "R6
1707, "R
1708, "PAR
1709, "R5
1710, "PAR
1711, "R
1712, "R6
1713, "C4-
1714, "M1-
1715, "R
1716, "R4
1717, "R6
1718, "C8-
1719, "R4-
1720, "C8-
1721, "R6
1722, "R
1723, "R6
1724, "M2-
1725, "C8-
1726, "C4-4
1727, "C4-
1728, "R6
1729, "M1-
1730, "R6
1731, "R7
1732, "R4
1733, "M1-
1734, "C8-
1735, "C8-
1736, "R7-
1737, "R
1738, "R6
1739, "PAR
1740, "R6
1741, "R3
1742, "R5
1743, "C8-
1744, "R8
1745, "C6-3
1746, "R3-
1747, "R6
1748, "M1-1/R
1749, "R6
1750, "M3-
1751, "PAR
1752, "M1-2/R6
1753, "R7
1754, "C4-
1755, "R6
1756, "R
1757, "PLAYGROUN
1758, "M1-4/R7
1759, "M3-
1760, "R7
1761, "C8-
1762, "M1-
1763, "C6-4.
1764, "R6
1765, "R5
1766, "M1-2/R6
1767, "R6
1768, "R6
1769, "R7
1770, "R5
1771, "PAR
1772, "PAR
1773, "R
1774, "R7-
1775, "R3-
1776, "R5
1777, "R
1778, "R
1779, "R5
1780, "R4
1781, "R
1782, "R5
1783, "C
1784, "R7
1785, "R4
1786, "M1-2/R6
1787, "R4-
1788, "R6
1789, "R6
1790, "R7
1791, "R6
1792, "R
1793, "R
1794, "PAR
1795, "R
1796, "R5
1797, "C6-
1798, "PAR
1799, "C6-
1800, "C8-
1801, "PAR
1802, "R6
1803, "R3-
1804, "R6
1805, "R
1806, "R6
1807, "R4
1808, "C8-
1809, "C6-
1810, "R6
1811, "R6
1812, "R7
1813, "R7
1814, "R7
1815, "R8
1816, "R
1817, "R7
1818, "R6
1819, "R6
1820, "R3-
1821, "R
1822, "C8-
1823, "M3-
1824, "M1-2/R7
1825, "R5
1826, "C4-4
1827, "R
1828, "R7
1829, "R
1830, "R4
1831, "M1-2/R6
1832, "R6
1833, "R6
1834, "M1-
1835, "C8-
1836, "R5
1837, "M1-
1838, "R4-
1839, "R4
1840, "R7
1841, "R6
1842, "R6
1843, "R6
1844, "R6
1845, "R6
1846, "PAR
1847, "M1-
1848, "C8-
1849, "C4-
1850, "R
1851, "R6
1852, "PAR
1853, "M1-
1854, "R7
1855, "R6
1856, "M1-
1857, "M1-2/R6
1858, "M3-
1859, "PAR
1860, "R4-
1861, "R7
1862, "R6
1863, "R6
1864, "M1-2/R
1865, "R5
1866, "M1-
1867, "R
1868, "R6
1869, "R6
1870, "R6
1871, "R4
1872, "M1-
1873, "M3-
1874, "R4-
1875, "R7
1876, "R6
1877, "M1-
1878, "PAR
1879, "R
1880, "R4
1881, "R6
1882, "R
1883, "R7
1884, "M1-4/R6
1885, "M1-
1886, "R4-
1887, "R6
1888, "R7-
